pap_pro_id,exam_id,exam_paper_id,exam_param_id,problem_id,order,last_submit_time,submit_id,is_aced,used_time,submit_count,score,create_time,modify_time,modify_user_id,know_name
115223,133,22549,832,449,3,2022-01-05 10:32:59,445984,1,7679,5,6,2022-01-05 09:27:57,2022-01-05 10:32:59,-1,时空权衡
115224,133,22549,833,445,4,2022-01-05 10:28:17,445752,1,2597,1,6,2022-01-05 09:27:57,2022-01-05 10:28:18,-1,迭代改进
115215,133,22550,829,3,0,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,动态规划
115216,133,22550,830,33,1,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,动态规划
115217,133,22550,831,41,2,2022-01-05 10:00:57,444602,2,0,3,4,2022-01-05 09:27:57,2022-01-14 17:36:42,3088,贪心策略
115218,133,22550,832,449,3,2022-01-05 10:22:55,445535,5,0,4,0,2022-01-05 09:27:57,2022-01-05 10:22:56,-1,时空权衡
115219,133,22550,833,134,4,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,迭代改进
115210,133,22551,829,3,0,2022-01-05 11:27:38,448262,1,8558,3,6,2022-01-05 09:27:57,2022-01-05 11:27:40,-1,动态规划
115211,133,22551,830,32,1,2022-01-05 10:19:59,445406,1,3299,2,6,2022-01-05 09:27:57,2022-01-05 10:20:01,-1,动态规划
115212,133,22551,831,35,2,2022-01-05 11:55:50,449242,5,0,1,0.6,2022-01-05 09:27:57,2022-01-05 11:55:52,-1,贪心策略
115213,133,22551,832,31,3,2022-01-05 11:51:44,449120,5,0,3,0,2022-01-05 09:27:57,2022-01-05 11:51:46,-1,时空权衡
115214,133,22551,833,445,4,2022-01-05 10:14:30,445158,1,2970,2,6,2022-01-05 09:27:57,2022-01-05 10:14:32,-1,迭代改进
115205,133,22552,829,628,0,2022-01-05 10:08:57,444891,1,7437,6,6,2022-01-05 09:27:57,2022-01-05 10:08:58,-1,动态规划
115206,133,22552,830,32,1,2022-01-05 10:14:36,445162,1,1776,1,6,2022-01-05 09:27:57,2022-01-05 10:14:37,-1,动态规划
115207,133,22552,831,35,2,2022-01-05 11:34:13,448530,5,0,4,1.8,2022-01-05 09:27:57,2022-01-05 11:34:14,-1,贪心策略
115208,133,22552,832,31,3,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,时空权衡
115209,133,22552,833,134,4,2022-01-05 10:54:18,446893,1,5358,2,6,2022-01-05 09:27:57,2022-01-05 10:54:19,-1,迭代改进
115200,133,22553,829,3,0,2022-01-05 10:44:48,446496,5,0,1,0,2022-01-05 09:27:57,2022-01-05 10:44:50,-1,动态规划
115201,133,22553,830,32,1,2022-01-05 09:55:07,444518,1,607,1,6,2022-01-05 09:27:57,2022-01-05 09:55:09,-1,动态规划
115202,133,22553,831,41,2,2022-01-05 10:19:36,445392,1,6876,5,6,2022-01-05 09:27:57,2022-01-05 10:19:38,-1,贪心策略
115203,133,22553,832,449,3,2022-01-05 10:39:32,446250,2,0,17,4,2022-01-05 09:27:57,2022-01-14 17:36:30,3088,时空权衡
115204,133,22553,833,445,4,2022-01-05 10:18:22,445331,1,3202,2,6,2022-01-05 09:27:57,2022-01-05 10:18:24,-1,迭代改进
115195,133,22554,829,628,0,2022-01-05 11:55:12,449224,2,0,1,4,2022-01-05 09:27:57,2022-01-14 17:36:22,3088,动态规划
115196,133,22554,830,33,1,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,动态规划
115197,133,22554,831,41,2,2022-01-05 10:00:27,444593,8,0,3,0,2022-01-05 09:27:57,2022-01-05 10:00:27,-1,贪心策略
115198,133,22554,832,31,3,2022-01-05 10:41:24,446340,1,11784,8,6,2022-01-05 09:27:57,2022-01-05 10:41:26,-1,时空权衡
115199,133,22554,833,134,4,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,迭代改进
115190,133,22555,829,3,0,2022-01-05 10:39:44,446260,5,0,2,0,2022-01-05 09:27:57,2022-01-05 10:39:45,-1,动态规划
115191,133,22555,830,33,1,2022-01-05 10:42:40,446402,5,0,2,0.84,2022-01-05 09:27:57,2022-01-05 10:42:41,-1,动态规划
115192,133,22555,831,41,2,2022-01-05 10:21:16,445467,5,0,2,0,2022-01-05 09:27:57,2022-01-05 10:21:17,-1,贪心策略
115193,133,22555,832,449,3,2022-01-05 10:44:51,446499,6,0,4,0,2022-01-05 09:27:57,2022-01-05 10:44:52,-1,时空权衡
115194,133,22555,833,134,4,2022-01-05 10:56:33,446995,5,0,2,0,2022-01-05 09:27:57,2022-01-05 10:56:34,-1,迭代改进
115185,133,22556,829,3,0,2022-01-05 11:14:22,447768,5,0,1,0,2022-01-05 09:27:57,2022-01-05 11:14:23,-1,动态规划
115186,133,22556,830,33,1,2022-01-05 12:05:53,449539,5,0,1,0,2022-01-05 09:27:57,2022-01-05 12:05:54,-1,动态规划
115187,133,22556,831,41,2,2022-01-05 11:38:32,448725,2,0,7,4,2022-01-05 09:27:57,2022-01-14 17:36:13,3088,贪心策略
115188,133,22556,832,449,3,2022-01-05 11:18:29,447915,6,0,11,0,2022-01-05 09:27:57,2022-01-05 11:18:30,-1,时空权衡
115189,133,22556,833,445,4,2022-01-05 12:09:31,449717,8,0,10,0,2022-01-05 09:27:57,2022-01-05 12:09:33,-1,迭代改进
115180,133,22557,829,628,0,2022-01-05 09:57:40,444547,1,7960,7,6,2022-01-05 09:27:57,2022-01-05 09:57:41,-1,动态规划
115181,133,22557,830,33,1,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,动态规划
