score
12
12
24
22
24
24
10
24
28.32
4
18.6
19.8
22
10
0.84
4
12
8
12
17.4
6.96
10.96
0
12
6
10
24
16
28
18
10.96
12.48
0
17.88
12.6
8.62
12
6
22
18.96
12
27
16.84
6
18
21
23.52
19.12
24
9
13.8
22.32
18.6
22.84
22
18
18
20.4
12
6.48
18.48
0
6
0
20.84
10
0
19
12
13.66
0
12
16
6.04
0
18
0
18.6
25.2
17
24.32
0
18.28
7.2
14.96
0
18.52
22
23.6
12.6
0
0
18
0
21
6
11
24
18.48
0
27.84
18.48
19.14
12
13.56
30
6
22.12
30
18
24
24.6
12
13.44
13.92
21.22
17.24
22
30
21.96
30
6.96
16.32
30
12.96
18.84
12
18
30
18
12.96
18.84
19.92
26.4
13.8
18
18
13.38
4.14
19.8
18
16
5.82
15.68
18
28.32
18
10.08
18.6
18.96
1.44
1.8
14.88
18.96
6.6
21.6
6
20.52
20.52
7.84
13.8
24
22.86
28.32
30
6
9.24
18.96
12
7.8
30
18.6
24
18
14.4
15.48
3
5
15
25.8
18
12
24
21
24
30
15.6
18.96
25.8
16.32
27
21.6
18.84
30
13.8
24
10
13.44
0
20.52
22
6
10
0
0
0
0
24
6
0
20.7
6
0
0
0
0
6.48
24
24
10.96
